,slang,formal
0,woww,wow
1,aminn,amin
2,met,selamat
3,netaas,menetas
4,keberpa,keberapa
5,eeeehhhh,eh
6,kata2nyaaa,kata-katanya
7,hallo,halo
8,kaka,kakak
9,ka,kak
10,daah,dah
11,aaaaahhhh,ah
12,yaa,ya
13,smga,semoga
14,slalu,selalu
15,amiin,amin
16,kk,kakak
17,trus,terus
18,sii,sih
19,nyenengin,menyenangkan
20,bgt,banget
21,gemess,gemas
22,akuuu,aku
23,jgn,jangan
24,udah,sudah
25,gitu,begitu
26,aja,saja
27,gemesiin,menggemaskan
28,menyenangkn,menyenangkan
29,rb,ribu
30,akau,aku
31,saranin,menyarankan
32,nemuin,menemukan
33,yah,ya
34,mnis2nya,manis-manisnya
35,gtu,begitu
36,tu,itu
37,idolaa,idola
38,bangett,banget
39,kaakk,kak
40,baaiikkk,baik
41,telaatt,telat
42,kaak,kak
43,yg,yang
44,lg,lagi
45,skarang,sekarang
46,sempet,sempat
47,karna,karena
48,ngga,enggak
49,mantep,mantap
50,loohhh,loh
51,yeee,ya
52,baguuuuus,bagus
53,sampe,sampai
54,ngikutin,mengikuti
55,gayany,gayanya
56,bnk,bang
57,awaas,awas
58,siip,sip
59,abizzzz,habis
60,kerrrrennnn,keren
61,sayaa,saya
62,pengen,ingin
63,kpan,kapan
64,sma,sama
65,sdkit,sedikit
66,bngt,banget
67,lgu,lagu
68,bener2,benar-benar
69,kharismanya,karismanya
70,aq,aku
71,jdi,jadi
72,lgi,lagi
73,gk,enggak
74,kek,kayak
75,lgunya,lagunya
76,kereeeeennnn,keren
77,nyamain,menyamakan
78,lakik,laki
79,siippp,sip
80,bkn,bukan
81,nyangka,menyangka
82,bangettt,banget
83,kereeen,keren
84,wihhhhhh,wih
85,tp,tapi
86,inget,ingat
87,bingitsss,banget
88,dmn,dimana
89,bird,biru
90,kaloo,kalo
91,gimna,bagaimana
92,tuuh,tuh
93,nyebur,mencebur
94,yng,yang
95,dbuat,dibuat
96,kn,kan
97,org,orang
98,pingin,ingin
99,bangcat,bangsat
100,yha,ya
101,waoohhh,wah
102,pngn,pegen
103,tmpt,tempat
104,dhe,deh
105,indahhh,indah
106,bgttt,banget
107,tuhh,tuh
108,berarto,berarti
109,ga,enggak
110,aamiin,amin
111,amiiinn,amin
112,dgn,dengan
113,aminnnn2,amin-amin
114,amiiiin,amin
115,aminnn,amin
116,amiend,amien
117,yaaa,ya
118,ameen,amin
119,aminnnn,amin
120,amiiinnn,amin
121,ngomong,mengomong
122,mamer,memamerkan
123,keles,kali
124,jelase,jelas
125,liat,lihat
126,uwakk,uwak
127,ntar,entar
128,bs,bisa
129,gini,begini
130,salfok,salah fokus
131,njir,anjir
132,piiink,pink
133,astgfrullah,astagfirullah
134,ko,kok
135,cd,celana dalam
136,gbs,enggak bisa
137,bhs,bahasa
138,yaaaaaa,ya
139,gak,enggak
140,bangshad,bangsat
141,stagahhhh,astaga
142,kpn,kapan
143,iooo,lo
144,dy,dia
145,d,ada
146,mslh,masalah
147,qt,kita
148,plampiasannn,pelampiasan
149,masalahh,masalah
150,tohh,toh
151,inghinn,ingin
152,dhi,di
153,mengherthii,mengerti
154,yanckh,yang
155,chelalyyu,selalu
156,therchakitty,tersakiti
157,mauuuuu,mau
158,kaliii,kali
159,bangat,banget
160,bkin,bikin
161,dongg,dong
162,yokkk,yuk
163,yu,yuk
164,sweger,segar
165,gantengg,ganteng
166,bingiit,banget
167,kebukaaa,terbuka
168,tpi,tapi
169,keliatan,kelihatan
170,yakk,ya
171,kayakk,kayak
172,asliii,asli
173,kyk,kayak
174,cntiknya,cantiknya
175,bat,banget
176,ngeliatnya,melihatnya
177,sll,selalu
178,bet,banget
179,njerr,anjir
180,bingiiittttzzzz,banget
181,k,kak
182,klo,kalo
183,dooong,dong
184,masi,masih
185,gni,begini
186,hdk,hendak
187,jugaa,juga
188,mksud,maksud
189,aj,saja
190,tetep,tetap
191,mbakx,mbaknya
192,syantik,cantik
193,kite,kita
194,pa,apa
195,mksd,maksud
196,bejilbbnya,berjilbabnya
197,masio,masih
198,yahhh,ya
199,makasih,terima kasih
200,leh,boleh
201,ugaaa,juga
202,jerewi,jerawat
203,ilang,hilang
204,jilbabnyaah,jilbabnya
205,yuuuk,yuk
206,warnaaa,warna
207,punyaaa,punya
208,cantiik,cantik
209,sukaaak,suka
210,kebayanyaa,kebayanya
211,mantes,memantas
212,merekaaaa,mereka
213,jugaaa,juga
214,gilaaaa,gila
215,tiga2nya,tiga-tiganya
216,lucuu,lucu
217,emessss,gemas
218,ucullllll,lucu
219,males,malas
220,bangeettt,banget
221,gemesshh,gemas
222,apaaa,apa
223,ampuunn,ampun
224,ciuuuummmm,cium
225,mbil,sambil
226,ngmng,mengomong
227,ngemeng,mengomong
228,epe,apa
229,seehh,sih
230,yank,sayang
231,ucul,lucu
232,yahh,ya
233,gw,gue
234,ngakak,mengakak
235,astagfirrullah,astagfirullah
236,suerrr,suer
237,mnta,minta
238,syg,sayang
239,ntik,cantik
240,pny,punya
241,dapet,dapat
242,suru,suruh
243,lucuuuu,lucu
244,ketawakkkk,ketawa
245,kyanya,kayanya
246,bnget,banget
247,nakutin,menakutkan
248,malingg,maling
249,cocokk,cocok
250,niihh,nih
251,imutttttt,imut
252,satuuuuu,satu
253,sesekk,sesak
254,nafass,nafas
255,bgtt,banget
256,cintaaaaaaa,cinta
257,lucuk,lucu
258,ma,sama
259,duluu,dulu
260,megang,memegang
261,kawinin,mengawini
262,liatin,memperlihatkan
263,ny,nya
264,bdan,badan
265,nyaaa,nya
266,gemesin,menggemaskan
267,fotoin,memfoto
268,ngaku,mengaku
269,kaaa,kak
270,ganteng2,ganteng-ganteng
271,pcarny,pacarnya
272,kri,kiri
273,knpa,kenapa
274,pda,pada
275,cmn,cuman
276,gara2,gara-gara
277,garuk2,garuk-garuk
278,tembokk,tembok
279,namax,namanya
280,kiriii,kiri
281,bungkusin,bungkuskan
282,atu,satu
283,dehhhh,deh
284,kakk,kak
285,ngegantiin,menggantikan
286,alloh,allah
287,smpe,sampai
288,msh,masih
289,trsa,terasa
290,khadirannya,kehadirannya
291,fikiran,pikiran
292,hayalanku,khayalanku
293,bru,baru
294,nton,menonton
295,ngapain,mengapai
296,surgaa,surga
297,kangenn,kangen
298,kgn,kangen
299,kakkkkk,kak
300,rinduuuuuuuuu,rindu
301,ninggalin,meninggalkan
302,smg,semoga
303,terangkhn,terangkan
304,bgtttt,banget
305,knp,kenapa
306,tuk,untuk
307,slama,selama
308,orng,orang
309,bngunlah,bangunlah
310,bngun,bangun
311,ea,ya
312,qu,ku
313,hiri,hari
314,"teman""ny",teman-temannya
315,aza,saja
316,dr,dari
317,alm,almarhum
318,skrg,sekarang
319,sie,sih
320,benet,benar
321,bangetttt,banget
322,tuu,tuh
323,skrang,sekarang
324,gda,enggak ada
325,gantiin,menggantikan
326,kta,kata
327,kklau,kalau
328,acra,acara
329,kasian,kasihan
330,yaaa ,ya
331,bnerr,benar
332,emk,emak
333,temenn,teman
334,pngenn,ingin
335,terkenall,terkenal
336,ajhh,saja
337,sungguh2,sungguh-sungguh
338,mnjadi,menjadi
339,shbt,sahabat
340,bner,benar
341,ktny,katanya
342,dimusiumin,dimuseumkan
343,bntu,bantu
344,dlu,dulu
345,udh,sudah
346,kangem,kangen
347,amiiin,amin
348,smua,semua
349,slmt,selamat
350,jln,jalan
351,"mudh""an",mudah-mudahan
352,tenny,tenang
353,sdh,sudah
354,tnya,tanya
355,blm,belum
356,td,tadi
357,sblm,sebelum
358,bole,boleh
359,lahhh,lah
360,maap,maaf
361,cm,cuma
362,kmrn,kemarin
363,wkt,waktu
364,ama,sama
365,ak,aku
366,lht,lihat
367,biasa2,biasa-biasa
368,mnrtkuu,menurutku
369,trs,terus
370,ikutin,mengikuti
371,jdwl,jadwal
372,wajiiib,wajib
373,aaaammmiiiinnnn,amin
374,dtnggu,ditunggu
375,jan,jangan
376,kunjungin,kunjungi
377,lagiiii,lagi
378,waktunyaaa,waktunya
379,diluangin,diluangkan
380,jga,juga
381,mimin,admin
382,istimewaaa,istimewa
383,blom,belum
384,nangis,menangis
385,"ngaku""",mengaku-ngaku
386,diaa,dia
387,donkk,dong
388,kejawab,terjawab
389,yaaaa,ya
390,seru2an,seru-seruan
391,mohom,mohon
392,kebalas,terbalas
393,nyempetin,menyempatkan
394,wktunya,waktunya
395,kaaaa,kak
396,ngobrol,mengobrol
397,namain,menamai
398,bls,balas
399,ijap,ijab
400,kobul,kabul
401,co,cowok
402,pst,pasti
403,inggat,ingat
404,brdua,berdua
405,masing2,masih
406,sanggat,sangat
407,siipp,sip
408,laa,lah
409,dlm,dalam
410,hdup,hidup
411,hdp,hidup
412,kedpan,kedepan
413,smoga,semoga
414,mndaptkan,mendapatkan
415,"nutup""in",menutup-nutupi
416,iyah,iya
417,sja,saja
418,kakkk,kak
419,za,saja
420,mulut2,mulut-mulut
421,peengn,ingin
422,tuch,tuh
423,muantteepp,mantap
424,cpt,cepat
425,mrit,merit
426,y,ya
427,ngapasih,mengapa sih
428,ni,ini
429,segitunya,sebegitunya
430,fto,foto
431,pke,pakai
432,sisain,menyisakan
433,slamt,selamat
434,nantiii,nanti
435,edaaan,edan
436,emg,memang
437,tunggu2,tunggu-tunggu
438,sehat2,sehat-sehat
439,ciyeeeeeee,cie
440,pantes,pantas
441,lairannya,kelahirannya
442,jmnya,jamnya
443,ajha,saja
444,nyaaaa,nya
445,nyari,mencari
446,amiien,amien
447,terbaikkk,terbaik
448,ayahh,ayah
449,ae,saja
450,ndak,indak
451,ngerti,mengerti
